"Country,Other"        ,TotalCases    ,NewCases   ,TotalDeaths ,NewDeaths ,TotalRecovered ,NewRecovered ,ActiveCases  ,"Serious,Critical" ,Tot Cases/1M pop ,Deaths/1M pop ,TotalTests    ,Tests/1M pop ,Population
UAE                    ,"668,601"     ,"+1,521"   ,"1,913 "    ,+3        ,"646,227"      ,"+1,474"     ,"20,461"     ,                   ,"66,751"         ,191           ,"63,765,557"  ,"6,366,161"  ,"10,016,328 "
Austria                ,"655,589"     ,+392       ,"10,730 "   ,          ,"640,430"      ,+228         ,"4,429"      ,25                 ,"72,356"         ,"1,184"       ,"63,571,450"  ,"7,016,232"  ,"9,060,625 "
Morocco                ,"567,758"     ,           ,"9,517 "    ,          ,"538,370"      ,             ,"19,871"     ,298                ,"15,192"         ,255           ,"7,272,264"   ,"194,593"    ,"37,371,613 "
Tunisia                ,"558,306"     ,           ,"18,052 "   ,          ,"453,865"      ,             ,"86,389"     ,630                ,"46,724"         ,"1,511"       ,"2,135,283"   ,"178,700"    ,"11,948,986 "
Lebanon                ,"552,871"     ,           ,"7,889 "    ,          ,"535,663"      ,             ,"9,319"      ,54                 ,"81,387"         ,"1,161"       ,"4,731,376"   ,"696,494"    ,"6,793,132 "
Kazakhstan             ,"516,117"     ,"+6,119"   ,"5,244 "    ,+64       ,"441,437"      ,"+2,427"     ,"69,436"     ,221                ,"27,145"         ,276           ,"11,575,012"  ,"608,782"    ,"19,013,391 "
Saudi Arabia           ,"514,446"     ,           ,"8,130 "    ,          ,"495,650"      ,             ,"10,666"     ,"1,362"            ,"14,539"         ,230           ,"24,105,282"  ,"681,234"    ,"35,384,744 "
Ecuador                ,"479,784"     ,           ,"30,777 "   ,          ,"443,880"      ,             ,"5,127"      ,759                ,"26,766"         ,"1,717"       ,"1,623,084"   ,"90,548"     ,"17,925,168 "
Greece                 ,"469,042"     ,           ,"12,851 "   ,          ,"422,175"      ,             ,"34,016"     ,126                ,"45,234"         ,"1,239"       ,"11,996,902"  ,"1,156,972"  ,"10,369,227 "
Thailand               ,"467,707"     ,"+14,575"  ,"3,811 "    ,+114      ,"320,152"      ,"+7,775"     ,"143,744"    ,"3,984"            ,"6,683"          ,54            ,"8,129,670"   ,"116,163"    ,"69,984,915 "
